wGZJW450A7rSUnbQKnudlAQViJqWjjtvR/hf/LteU4bEuM8aCtTrSAfsDqQcNxrR+qjOplj7l+fxQVHQKpthmQ==	{"render_url": "http://fake.microsoft.example/render_url_254568", "regions": ["US", "FR", "GE"], "campaign_id": 5942014, "banner_id": "254568", "owner_id": 7868, "target_segments": [419, 422, 262, 359, 490, 203, 306, 403, 470, 377]}
OuinrnbLWzY5SEKzAZXFxZrUQZlJBbhxR2HN7LzzHEPgIkCYXNnnyGpazjdTx8YmYSekp9a0CQ1tP7amS5GggA==	{"render_url": "http://fake.microsoft.example/render_url_196864", "regions": ["UK", "CA", "GE"], "campaign_id": 156624108, "banner_id": "196864", "owner_id": 3624, "target_segments": [103, 362, 364, 492, 465, 274, 433, 114, 252, 469, 153, 348, 157]}
vUk1tOcs2Z718ktuiinZBqUWIkY5Z2RZOx+1EDPPkuqh6sqOktYKZD0Eiv5huM6UMJmKPiSIBrT1Bigh6CGgSg==	{"render_url": "http://fake.microsoft.example/render_url_212787", "regions": ["CH", "GE", "FR", "UK", "SP", "US"], "campaign_id": 406556892, "banner_id": "212787", "owner_id": 6833, "target_segments": [173, 303, 145, 242, 371, 308, 499, 375, 472, 155]}
tmlvF994FszcpmynRBV+NdETO/OZirv0yJ5AmTU7Qq7rFcrUjFSb1y9TngR4R2+XL7CHgHMNIMXTg0rVv9pNGw==	{"render_url": "http://fake.microsoft.example/render_url_24490", "regions": ["CH", "SP"], "campaign_id": 960861436, "banner_id": "24490", "owner_id": 8644, "target_segments": [289, 354, 419, 451, 482, 169, 272, 473, 317, 253]}
ZWMTkH0uKmap1kErZmjeJok5DgMlwVtwIHNEzT9/No4+UMf1XPlAdDA0Q7myjzO+4Tz7cmVqIEK3l60OTtgIkQ==	{"render_url": "http://fake.microsoft.example/render_url_439245", "regions": ["CH", "GE", "FR", "CA"], "campaign_id": 541104244, "banner_id": "439245", "owner_id": 6091, "target_segments": [318, 131, 132, 165, 454, 166, 361, 427, 113, 275, 248, 446]}
hC8hkwy62LamCPuk4J2GmM3cQKqoGdSDJ01ZMC/x9OzAgqR5DRSAXL5JUEl8QgNEL4izcT8D72WioMZa8El44w==	{"render_url": "http://fake.microsoft.example/render_url_516698", "regions": ["GE", "US", "FR", "UK"], "campaign_id": 240501308, "banner_id": "516698", "owner_id": 8526, "target_segments": [482, 471, 452, 101, 228, 358, 488, 364, 237, 430, 178, 404, 372, 343, 447]}
NeL+xSGflqunxmLI6+6aexPBJ48rkg2mUj+7esTE8ATXU72FAw0czB8JKQLcwmZwC1c5GcNi8kFvjnWzEvUUjg==	{"render_url": "http://fake.microsoft.example/render_url_122019", "regions": ["US", "GE", "CH", "FR"], "campaign_id": 999741137, "banner_id": "122019", "owner_id": 1771, "target_segments": [480, 449, 100, 388, 165, 296, 360, 202, 105, 144, 119, 283, 253]}
uuzCtgMQ5IYME4WcJClc5HXJF7cKqanCw7x52J/fKhEogGgpr/d0J372kXA9bZjksK6tU8XzKmv9lCvYElzIgQ==	{"render_url": "http://fake.microsoft.example/render_url_615903", "regions": ["GE"], "campaign_id": 9954744, "banner_id": "615903", "owner_id": 4336, "target_segments": [192, 455, 263, 395, 268, 145, 211, 279, 151, 281, 157]}
g+LMwPTDMCoQwFc7m35XENjz4cdOmukjJntt+ob5cP4dhjrK6GfsqpGIKuxQeQb1KvnXp/K2gnwK9Pm4E/2Oew==	{"render_url": "http://fake.microsoft.example/render_url_574710", "regions": ["FR", "GE", "CA", "SP", "US"], "campaign_id": 465978160, "banner_id": "574710", "owner_id": 5586, "target_segments": [416, 449, 162, 258, 165, 454, 391, 455, 208, 306, 468, 249]}
YKLfiV9gBBnwKNzKpn43T75Dj9YgX3ie19E176/6zxbAdeGjBoyVayWG8KIdQzx41Bg00e2cM9GEKeBl+i0OpA==	{"render_url": "http://fake.microsoft.example/render_url_407176", "regions": ["CH", "US", "CA", "SP", "UK", "GE"], "campaign_id": 503272118, "banner_id": "407176", "owner_id": 1212, "target_segments": [384, 449, 481, 451, 131, 100, 137, 139, 171, 269, 112, 436, 310, 221, 349]}
ypVtu90qUbkC0lvkthuldcO1Zu6feyRMMMd0EvkCuv5FDs9vRi4rm6d75ga6Is4Tgh+/zWyhPzNlFAIyH7qOrg==	{"render_url": "http://fake.microsoft.example/render_url_601464", "regions": ["SP", "GE", "CH", "FR", "CA", "UK"], "campaign_id": 462611983, "banner_id": "601464", "owner_id": 7608, "target_segments": [227, 486, 137, 299, 241, 402, 214, 120, 154, 189, 287]}
MDiFAuFB7XfKp6k9vcm/SColarDZTBnfTuz664QapOHeBljlAOK3ztK6kpDo456JG186ZxN5Q+hys3IlLZDNDA==	{"render_url": "http://fake.microsoft.example/render_url_696228", "regions": ["SP"], "campaign_id": 17445278, "banner_id": "696228", "owner_id": 9147, "target_segments": [294, 234, 140, 429, 365, 147, 341, 118, 409, 351]}
x4URNOX7dvuYHQCXM2wRVbZWN79jtRqMJvCZ4gXpZ7fD0W7TuR3f7f2PulWy16AQxvPHKat8U0435pL7zb6Zaw==	{"render_url": "http://fake.microsoft.example/render_url_243216", "regions": ["US", "SP"], "campaign_id": 544302590, "banner_id": "243216", "owner_id": 9174, "target_segments": [417, 228, 165, 358, 199, 359, 292, 298, 458, 393, 210, 311, 377, 317]}
